"","id1","name1","address1","id2","name2","address2"
"51720",1979,"the orchard tavern","455 victoria ave (near chatswood train station)",2031,"the orchard tavern","455 victoria ave"
"51894",2000,"yellow restaurant","94b longueville rd",2001,"yellow cafe restaurant","94 longueville rd"
"51950",2009,"lane cove b b q kitchen","130 longueville rd",2104,"lane cove bbq kitchen","130 longueville rd"
"52596",2068,"subway","86 archer st",2069,"subway sandwich & salad shop","86 archer st"
"52699",2122,"sibis","307 pacific hwy",2165,"sibis south indian restaurant lindfield","307 pacific hwy"
"52704",2130,"salt pepper nutmeg","110 pacific hwy",2140,"salt pepper nutmeg",""
"52705",2130,"salt pepper nutmeg","110 pacific hwy",2145,"salt pepper nutmeg","110 pacific hwy"
"52727",2136,"nicks pizzeria","374 pacific hwy",2141,"nicks pizza","374 pacific hwy"
"52745",2140,"salt pepper nutmeg","",2145,"salt pepper nutmeg","110 pacific hwy"
"52832",2174,"bar fresko gordon","767 pacific hwy",2204,"bar fresco gordon","shop 25767 pacific hwy"
"52921",2191,"cuisine courier","757 pacific hwy",2192,"cuisine courier","757 pacific hwy"
"52923",2191,"cuisine courier","757 pacific hwy",2210,"cuisine courier","757 pacific hwy"
"52926",2192,"cuisine courier","757 pacific hwy",2210,"cuisine courier","757 pacific hwy"
"52973",2216,"abbys beer n burgers","2/235 mona ve rdst ives 2075",2249,"abbys beer n burgers","2/235 mona vale rd"
"53117",2240,"golden recipe chinese restaurant","198a mona vale rd",2255,"golden recipe home delivery","198a mona vale rd"
"53914",2273,"the little queen cafe","28-30 queen st",3814,"the little queen cafe","28-30 queen st"
"53915",2273,"the little queen cafe","28-30 queen st",3815,"little queen cafe","28-30 queen st"
"54554",2282,"jimmy buffets margaritaville","225 harbourside shopping centre10 darling dr",2537,"margaritaville","225 harbourside shopping ctr10 darling dr"
"54957",2287,"ryans patisserie","62 regent st",3797,"ryans cafe","62 regent st"
"56034",2314,"rim tanon","40-50 campbell st",4878,"rin tanon","41-45 campbell st"
"56348",2321,"rupert & ruby","78 stanley st",2325,"rupert & rudys","78 stanley st"
"56878",2333,"sumo salad","133a liverpool st",4831,"sumo salad liverpool st","133 liverpool st"
"57401",2343,"colombia organik","810 george st",3949,"columbia organik","757-759 george st"
"57775",2353,"cicco chocolaterie","brdway shopping centre,  level 31 bay st",2441,"cicco chocolaterie","bay st"
"58100",2363,"pablos charcoal chicken & ribs","664 crown st",4469,"surry hills charcoal chicken","664 crown st"
"58165",2367,"la illtimo","91 william henry st",4020,"la illtimo cafe & pizzeria","91 william henry st"
"58499",2370,"cafe 225","225 elizabeth st",4942,"cafe 255","255 elizabeth st"
"60657",2416,"mero mero","level 586-100 market st",4664,"mero mero","89 castlereagh stlevel 5"
"62008",2437,"ippudo central park","shop 5021, level 5188 pitt st",3772,"ipuddo central park","shop 5021, level 5188 pitt st"
"62589",2444,"vacanza","414 bourke st",4447,"vacanza pizzeria","414 bourke st"
